iter	Passed	Remaining
0	1	104
1	2	107
2	2	93
3	4	99
4	5	113
5	7	122
6	9	130
7	11	136
8	14	148
9	16	152
10	19	156
11	21	159
12	23	158
13	25	159
14	28	163
15	31	164
16	34	166
17	36	164
18	37	161
19	39	157
20	42	158
21	44	158
22	46	156
23	48	154
24	51	153
25	53	151
26	55	149
27	57	148
28	59	146
29	61	143
30	63	141
31	65	139
32	67	136
33	68	133
34	71	132
35	73	129
36	74	127
37	76	124
38	78	122
39	79	119
40	81	117
41	82	113
42	84	111
43	85	109
44	87	107
45	89	104
46	91	102
47	93	100
48	94	98
49	96	96
50	97	93
51	99	91
52	101	89
53	102	87
54	103	84
55	105	82
56	106	80
57	108	78
58	109	76
59	110	73
60	112	71
61	114	69
62	115	68
63	117	66
64	118	63
65	120	61
66	121	59
67	123	58
68	125	56
69	126	54
70	128	52
71	129	50
72	131	48
73	133	46
74	134	44
75	135	42
76	136	40
77	138	38
78	139	37
79	140	35
80	141	33
81	143	31
82	144	29
83	145	27
84	147	26
85	148	24
86	150	22
87	152	20
88	153	18
89	155	17
90	156	15
91	158	13
92	159	12
93	160	10
94	162	8
95	163	6
96	164	5
97	165	3
98	166	1
99	167	0
