iter	Passed	Remaining
0	147	147039
1	149	74638
2	151	50419
3	153	38264
4	156	31105
5	158	26306
6	162	23001
7	164	20420
8	167	18425
9	169	16786
10	171	15452
11	174	14372
12	177	13447
13	179	12633
14	181	11921
15	183	11308
16	186	10776
17	189	10313
18	192	9922
19	194	9550
20	197	9201
21	199	8869
22	201	8564
23	203	8289
24	206	8056
25	208	7823
26	210	7594
27	212	7387
28	214	7194
29	216	7012
30	219	6856
31	221	6702
32	223	6535
33	224	6386
34	226	6252
35	228	6123
36	230	6001
37	232	5889
38	235	5803
39	237	5702
40	239	5604
41	240	5490
42	242	5393
43	244	5308
44	246	5241
45	249	5167
46	251	5092
47	253	5022
48	254	4944
49	256	4865
50	258	4802
51	260	4744
52	262	4691
53	264	4638
54	267	4592
55	269	4543
56	272	4501
57	274	4465
58	277	4424
59	279	4374
60	280	4324
61	282	4279
62	284	4235
63	286	4193
64	288	4155
65	291	4124
66	293	4088
67	295	4052
68	297	4016
69	299	3981
70	301	3947
71	304	3921
72	307	3898
73	309	3868
74	311	3844
75	314	3818
76	316	3788
77	318	3760
78	320	3734
79	322	3707
80	324	3680
81	326	3655
82	327	3617
83	329	3588
84	330	3559
85	332	3529
86	333	3498
87	335	3472
88	336	3444
89	337	3416
90	339	3387
91	340	3358
92	341	3330
93	342	3302
94	343	3275
95	344	3248
96	346	3222
97	347	3196
98	348	3170
99	349	3145
100	350	3121
101	351	3096
102	352	3072
103	353	3047
104	354	3023
105	355	3001
106	357	2979
107	358	2958
108	359	2939
109	360	2920
110	362	2900
111	363	2880
112	364	2863
113	366	2846
114	367	2830
115	369	2813
116	370	2793
117	371	2776
118	372	2761
119	374	2744
120	375	2727
121	376	2709
122	377	2693
123	378	2676
124	380	2663
125	381	2647
126	382	2629
127	383	2612
128	384	2596
129	385	2580
130	386	2564
131	387	2548
132	388	2533
133	389	2517
134	390	2501
135	391	2486
136	392	2472
137	393	2458
138	394	2444
139	396	2434
140	397	2421
141	398	2405
142	399	2392
143	400	2379
144	401	2366
145	402	2355
146	403	2343
147	405	2331
148	406	2319
149	407	2308
150	408	2296
151	409	2284
152	410	2274
153	412	2264
154	413	2253
155	414	2243
156	415	2232
157	417	2222
158	418	2212
159	419	2202
160	420	2189
161	421	2179
162	422	2169
163	423	2159
164	424	2150
165	426	2143
166	427	2134
167	429	2124
168	430	2115
169	431	2106
170	432	2097
171	433	2088
172	434	2079
173	436	2069
174	437	2060
175	438	2050
176	439	2041
177	440	2032
178	441	2023
179	442	2016
180	443	2007
181	444	1998
182	445	1989
183	446	1981
184	447	1972
185	448	1964
186	449	1955
187	450	1946
188	451	1938
189	452	1930
190	453	1922
191	455	1914
192	456	1908
193	457	1901
194	458	1894
195	459	1886
196	461	1879
197	462	1872
198	463	1865
199	464	1858
200	465	1851
201	466	1844
202	467	1837
203	469	1830
204	470	1823
205	471	1815
206	472	1809
